artist,country,gender,language,popularity_bin,train_popularity,iteration_1_exposure,iteration_2_exposure
Miguel,ES,Male,en,low,4.362113589437869e-05,0.0,0.0
Britney Spears,US,Female,en,high,0.015441882106610056,0.058711674207540795,0.05896871110202504
J. Cole,US,Male,en,high,0.000799720824730276,0.001115108442727934,0.0005427482280014513
Miley Cyrus,US,Non-binary,en,high,0.0036641754151278097,0.00457177803296443,0.009945537284141668
Amerie,US,Female,en,high,0.0005089132521010847,0.0,0.0
Lali,AR,Female,0,mid,0.00014540378631459563,0.0,0.0
Five for Fighting,US,Male,en,mid,0.0002471864367348126,7.213241292398154e-05,0.0
Crystal Waters,US,Female,en,low,7.270189315729782e-05,0.0,0.0
MC Carol,BR,Female,pt,low,7.270189315729782e-05,0.0,0.0
Sara Bareilles,US,Female,en,high,0.0008288015819931951,0.0,0.0
Mac DeMarco,CA,Male,en,high,0.0016430627853549306,0.0004135422434593476,0.0
Fito Páez,AR,Male,es,low,5.816151452583825e-05,0.0,0.0
Julian Casablancas,US,Male,en,high,0.00031988832989211037,0.0,0.0
The Tallest Man on Earth,SE,Male,en,high,0.0024718643673481257,0.0006439504393858934,0.00033704262635153863
Richard Thompson,UK,Male,en,low,1.4540378631459563e-05,0.0,0.0
James Blunt,UK,Male,en,high,0.0005379940093640038,0.0,0.0
Liima,FI,Male,en,low,1.4540378631459563e-05,0.0,0.0
Salmo,IT,Male,it,high,0.0004071306016808678,0.0,0.0
Azealia Banks,US,Female,en,high,0.0005525343879954634,0.0,0.0
Marilyn Manson,US,Male,en,high,0.014583999767353941,0.0335694437710892,0.028655231404708794
Chet Faker,AU,Male,en,high,0.0004216709803123273,0.0,0.0
Danger,FR,Male,no_lyrics,low,7.270189315729782e-05,0.0,0.0
Freddie Gibbs,US,Male,en,low,7.270189315729782e-05,0.0,0.0
2Pac,US,Male,en,high,0.001366795591357199,0.0002577061352362005,0.00016101933920365877
Tinashe,US,Female,en,mid,0.00010178265042021695,0.0,0.0
Kevin Gates,US,Male,en,mid,0.00017448454357751477,0.0,0.0
Ann Lee,IT,Female,no_lyrics,mid,0.0002035653008404339,9.653414698596486e-05,0.0
Dillon,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Erykah Badu,US,Female,en,high,0.0004362113589437869,8.888692627967726e-05,7.213241292398154e-05
Ken Ashcorp,UK,Male,en,mid,0.00015994416494605519,0.00020348878127643692,0.0
The Kinks,US,Male,en,high,0.0018757088434582837,0.0020893538203030377,0.00282872676277908
Lily Allen,UK,Female,en,high,0.0030098583767121296,0.0004695760031955442,0.0005679969017565327
Rejjie Snow,IE,Male,en,high,0.00033442870852356995,0.0001861900071500318,0.0
Adore Delano,US,Female,en,mid,8.724227178875738e-05,0.0,0.0
BANKS,US,Female,en,high,0.0005525343879954634,0.0,0.0
Robert Plant,UK,Male,en,low,7.270189315729782e-05,0.0,0.0
Mc IG,BR,Male,pt,mid,8.724227178875738e-05,0.00025078618255647696,0.0
Eminem,US,Male,en,high,0.003940442609125541,0.0026970167493079004,0.0024095676762761285
Soccer Mommy,US,Female,en,mid,0.0002471864367348126,0.00023616061883257577,0.0
"ZEDD, Katy Perry",US,Female,0,high,0.0011196091546223864,0.0,0.00015744041255505052
AFI,US,Female,en,high,0.003518771628813214,0.008011225689092741,0.020248411014486278
Miss Kittin,FR,Female,en,low,7.270189315729782e-05,0.0,0.0
Madonna,US,Female,en,high,0.007444673859307296,0.0030515712536539406,0.0018619747027504114
Big K.R.I.T.,US,Male,en,mid,0.00015994416494605519,0.0,0.0
Gwen Stefani,US,Female,en,high,0.0011777706691482245,0.001503028407454197,0.0005701027389412572
Tame Impala,AU,Male,en,high,0.005394480472271498,0.012945875511726653,0.025172204677441985
Toby Driver,US,Male,en,mid,0.000232646058103353,7.511816718184699e-05,0.0
Benjamin Francis Leftwich,UK,Male,en,high,0.0005961555238898421,8.888692627967726e-05,8.317904999927444e-05
Dean Blunt,UK,Male,0,high,0.0005089132521010847,0.00015744041255505052,0.00015744041255505052
Bonez MC,DE,Male,de,mid,0.00014540378631459563,0.0,0.0
Otto,BR,Male,pt,mid,0.00017448454357751477,0.0,8.317904999927444e-05
John Frusciante,US,Male,en,high,0.0024427836100852068,0.0012342772438673928,0.0008155363169905812
Craig David,UK,Male,en,mid,0.0002471864367348126,0.0,0.0
Giorgio Moroder,IT,Male,en,mid,0.00013086340768313608,0.0,0.0
Mineral,FI,Male,en,high,0.00030534795126065085,0.0,0.0
Kimbra,US,Female,en,high,0.0005816151452583825,7.213241292398154e-05,0.0
Wyclef Jean,US,Male,0,low,7.270189315729782e-05,0.0,0.0
Jason Mraz,US,Male,en,high,0.0004216709803123273,7.213241292398154e-05,0.0
Tom Waits,US,Male,en,high,0.002602727775031262,0.00219056073116302,0.0008975152460512355
Tove Lo,SE,Female,en,high,0.002559106639136883,0.00046744705356374964,0.00024953714999782333
Thiaguinho,BR,Male,no_lyrics,low,1.4540378631459563e-05,0.0,0.0
Leonard Cohen,CA,Male,en,high,0.005772530316689447,0.0037106696275969477,0.0019485194350909723
Emicida,BR,Male,pt,mid,8.724227178875738e-05,0.0,0.0
Elza Soares,BR,Female,pt,low,4.362113589437869e-05,0.0,0.0
Moby,US,Male,en,high,0.003896821473231163,0.009755056524846088,0.006756759748601609
Paul McCartney,UK,Male,en,high,0.0011196091546223864,8.317904999927444e-05,0.0
Tycho,US,Male,no_lyrics,high,0.0023846220955593684,0.0052625543822204515,0.008319598131003057
Wild Nothing,US,Male,en,high,0.0015267397563032542,0.0009744498190095154,0.0007036076723963254
Seu Jorge,BR,Male,pt,mid,0.00010178265042021695,0.0,0.0
Phill Veras,BR,Male,pt,high,0.0007124785529415186,0.00016635809999854888,0.0
Rush,US,Male,en,high,0.00664495303457702,0.010741562089899457,0.008411890213921372
Maysa,US,Female,pt,low,5.816151452583825e-05,0.0,0.0
Maria Rita,BR,Female,pt,mid,0.00014540378631459563,0.0,0.0
David Sylvian,UK,Male,en,mid,0.0002471864367348126,0.0,0.0
Ella Fitzgerald,US,Female,en,high,0.0004362113589437869,0.0,0.0
Peter Green,UK,Male,en,low,5.816151452583825e-05,0.0,0.0
Edwyn Collins,UK,Male,en,high,0.0012213918050426034,0.003939949110443527,0.004521804066733556
Mitski,US,Female,en,high,0.0018175473289324454,0.00026848914007616536,0.0002613081743318788
Dionne Warwick,US,Female,en,high,0.0004216709803123273,7.213241292398154e-05,0.0
Love,JP,Female,en,high,0.0007270189315729781,7.511816718184699e-05,0.0001854210732656421
Marty Robbins,US,Male,en,mid,0.00014540378631459563,8.317904999927444e-05,0.0
Howard Shore,CA,Male,no_lyrics,high,0.0009742053683077907,0.001686023445229239,0.0016555498690762162
Joe Walsh,US,Male,en,mid,0.0002471864367348126,0.0,0.0
Oswaldo Montenegro,BR,Male,pt,high,0.0003925902230494082,8.317904999927444e-05,0.0001720659762789517
Jessica Simpson,US,Female,en,mid,0.00013086340768313608,0.0,0.0
David Archuleta,US,Male,en,mid,0.00013086340768313608,0.0,0.0
Conor Oberst,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Violet Chachki,US,Non-binary,en,low,1.4540378631459563e-05,0.0,0.0
Roy Orbison,US,Male,en,high,0.0020211126297728795,0.005529306128187809,0.00793953227190659
Ladyhawke,NZ,Female,en,high,0.0003925902230494082,0.00010746980087250656,0.0
Sennek,BE,Female,en,mid,0.0002035653008404339,0.0,0.0
Céu,BR,Female,pt,high,0.0014394974845144968,0.0016442494231875384,0.0034092370759918815
Adriana Calcanhotto,BR,Female,pt,high,0.0004362113589437869,0.0,0.0
Billy Bragg,UK,Male,en,mid,0.00026172681536627216,7.511816718184699e-05,0.0
Bright Light Bright Light,UK,Male,0,mid,8.724227178875738e-05,0.0,0.0
Caro Emerald,NL,Female,en,low,7.270189315729782e-05,0.0,0.0
Cyndi Lauper,US,Female,en,mid,0.00010178265042021695,0.0,0.0
Mariah Carey,US,Female,en,high,0.0045802192689097625,0.004008195368547528,0.00124108916366999
Fever Ray,SE,Non-binary,en,high,0.0023119202024020707,0.0009221065853191286,0.0009261808611184128
David Gilmour,UK,Male,en,high,0.00037804984441794864,0.0,0.00012476857499891167
Marisa Monte,BR,Female,pt,high,0.0007560996888358973,0.001982673499465039,0.0017437741036736849
Elliott Smith,US,Male,en,high,0.001861168464826824,0.001082444265181913,0.0003834111989384043
Thalía,MX,Female,es,mid,0.0002762671939977317,0.0,0.0
