user_id,_AU,_BR,_CA,_DE,_FR,_JP,_NZ,_SE,_UK,_US
1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
2,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
3,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
4,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
5,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
6,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
7,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
8,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4
9,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
11,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
12,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
14,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.6
15,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
16,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
17,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
18,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
19,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
20,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.5
21,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.5
22,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
23,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
24,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
25,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
26,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
27,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
28,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
29,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
30,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
31,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
32,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
33,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
34,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
35,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
36,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4
37,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
38,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
39,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
40,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
41,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
42,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
43,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
44,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
45,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.5
47,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
48,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
49,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
50,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
51,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
52,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
53,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
54,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
55,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
56,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
57,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
58,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
60,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
61,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.4
62,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
64,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
65,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
66,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
67,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
68,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
69,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
70,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
71,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.6
72,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
73,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
74,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
75,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
76,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
77,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
78,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
79,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
80,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
81,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
82,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
83,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
84,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
85,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
86,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
87,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
88,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
89,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
90,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
91,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
92,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
93,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
94,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4
95,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
96,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
